radiation,city,state,extra,county,latitude,longitude,postal_code,state_code
1268.0,Amberg,Bayern,Upper Palatinate,Amberg,49.4429,11.8627,92224,BY
1268.0,Schweickershausen,Thüringen,,Landkreis Hildburghausen,50.2392,10.6304,98663,TH
1268.0,Hainichen,Thüringen,,Saale-Holzland-Kreis,51.0,11.6167,7778,TH
1268.0,Schneckenlohe,Bayern,Upper Franconia,Landkreis Kronach,50.2118,11.194,96277,BY
1266.0,Coburg,Bayern,Upper Franconia,Coburg,50.2594,10.9638,96450,BY
1266.0,Weimar,Thüringen,,"Weimar, Stadt",50.9867,11.3156,99427,TH
1266.0,Henau,Rheinland-Pfalz,,Rhein-Hunsrück-Kreis,49.8667,7.5,55490,RP
1265.0,Stedten,Sachsen-Anhalt,,Mansfeld-Südharz,51.4431,11.6929,6317,ST
1264.0,Rettenbach,Bayern,Upper Palatinate,Cham,49.0667,12.45,93191,BY
1264.0,Naundorf,Thüringen,,Altenburger Land,50.9776,12.2668,4617,TH
1263.0,Mainz-Kostheim,Hessen,Regierungsbezirk Darmstadt,"Wiesbaden, Landeshauptstadt",50.0051,8.3134,55246,HE
1263.0,Jena,Thüringen,,"Jena, Stadt",50.943,11.6034,7749,TH
1262.0,Reichstädt,Thüringen,,Landkreis Greiz,50.9215,12.2342,7580,TH
1261.0,Hochheim am Main,Hessen,Regierungsbezirk Darmstadt,Main-Taunus-Kreis,50.0144,8.3522,65239,HE
1261.0,Brensbach,Hessen,Regierungsbezirk Darmstadt,Odenwaldkreis,49.7739,8.8844,64395,HE
1261.0,Thundorf in Unterfranken,Bayern,Regierungsbezirk Unterfranken,Landkreis Bad Kissingen,50.201,10.3191,97711,BY
1260.0,Bayreuth,Bayern,Upper Franconia,Bayreuth,49.9431,11.5592,95445,BY
1260.0,Halle,Sachsen-Anhalt,,Kreisfreie Stadt Halle,51.441,11.9856,6130,ST
1260.0,Elstertrebnitz,Sachsen,,Landkreis Leipzig,51.15,12.2333,4523,SN
1259.0,Rockhausen,Thüringen,,Ilm-Kreis,50.9015,11.0408,99102,TH
1259.0,Kirchenthumbach,Bayern,Upper Palatinate,Landkreis Neustadt an der Waldnaab,49.7487,11.7254,91281,BY
1258.0,Titz,Nordrhein-Westfalen,Regierungsbezirk Köln,Düren,51.0062,6.4248,52445,NW
1258.0,Schkeuditz,Sachsen,,Landkreis Nordsachsen,51.3968,12.2214,4435,SN
1258.0,Fürsteneck,Bayern,Lower Bavaria,Freyung-Grafenau,48.7167,13.4667,94142,BY
1257.0,Geisenheim,Hessen,Regierungsbezirk Darmstadt,Rheingau-Taunus-Kreis,49.9847,7.9684,65366,HE
1257.0,Elsdorf,Nordrhein-Westfalen,Regierungsbezirk Köln,Rhein-Erft-Kreis,50.9374,6.5683,50189,NW
1256.0,Baesweiler,Nordrhein-Westfalen,Regierungsbezirk Köln,Städteregion Aachen,50.9096,6.1887,52499,NW
1256.0,Oberwiera,Sachsen,,Zwickau,50.8833,12.5,8396,SN
1256.0,Burghausen,Sachsen,,Kreisfreie Stadt Leipzig,51.3566,12.2643,4178,SN
1255.0,Gera,Thüringen,,"Gera, Stadt",50.8901,12.1019,7546,TH
1255.0,Übach-Palenberg,Nordrhein-Westfalen,Regierungsbezirk Köln,Kreis Heinsberg,50.9177,6.1234,52531,NW
1254.0,Schrenz,Sachsen-Anhalt,,Anhalt-Bitterfeld,51.5876,12.0716,6780,ST
1253.0,Zickeritz,Sachsen-Anhalt,,Salzlandkreis,51.6348,11.7338,6420,ST
1252.0,Jüchen,Nordrhein-Westfalen,Reg.-Bez. Düsseldorf,Rhein-Kreis Neuss,51.1,6.5,41363,NW
1251.0,Egelsbach,Hessen,Regierungsbezirk Darmstadt,Offenbach,49.9679,8.6634,63329,HE
1250.0,Ostrau,Sachsen,,Landkreis Mittelsachsen,51.2,13.1667,4749,SN
1249.0,Behrungen,Thüringen,,Landkreis Schmalkalden-Meiningen,50.4109,10.4147,98631,TH
1249.0,Frankfurt am Main,Hessen,Regierungsbezirk Darmstadt,"Frankfurt am Main, Stadt",50.0413,8.5702,60549,HE
1249.0,Mönchengladbach,Nordrhein-Westfalen,Reg.-Bez. Düsseldorf,"Mönchengladbach, Stadt",51.1514,6.4703,41238,NW
1249.0,Mömlingen,Bayern,Regierungsbezirk Unterfranken,Landkreis Miltenberg,49.8597,9.0833,63853,BY
1248.0,Krefeld,Nordrhein-Westfalen,Reg.-Bez. Düsseldorf,"Krefeld, Stadt",51.3037,6.5032,47804,NW
1248.0,Leuben-Schleinitz,Sachsen,,Landkreis Meißen,51.1524,13.3333,1623,SN
1247.0,Kastl,Bayern,Upper Palatinate,Landkreis Tirschenreuth,49.8333,11.9,95506,BY
1247.0,Willich,Nordrhein-Westfalen,Reg.-Bez. Düsseldorf,Viersen,51.2637,6.5473,47877,NW
1247.0,Niederdorfelden,Hessen,Regierungsbezirk Darmstadt,Main-Kinzig-Kreis,50.1942,8.8,61138,HE
1246.0,Haserich,Rheinland-Pfalz,,Landkreis Cochem-Zell,50.0333,7.3333,56858,RP
1246.0,Behringen,Thüringen,,Wartburgkreis,51.0217,10.5101,99820,TH
1246.0,Offenbach,Hessen,Regierungsbezirk Darmstadt,"Offenbach am Main, Stadt",50.1069,8.7344,63067,HE
1246.0,Zülpich,Nordrhein-Westfalen,Regierungsbezirk Köln,Euskirchen,50.7,6.65,53909,NW
1246.0,Großkochberg,Thüringen,,Saalfeld-Rudolstadt,50.7749,11.3558,7407,TH
1245.0,Weiden,Bayern,Upper Palatinate,Weiden i.d.OPf.,49.6768,12.1561,92637,BY
1245.0,Bad Vilbel,Hessen,Regierungsbezirk Darmstadt,Wetteraukreis,50.1787,8.7376,61118,HE
1245.0,Prackenbach,Bayern,Lower Bavaria,Landkreis Regen,49.0954,12.8261,94267,BY
1245.0,Wierschem,Rheinland-Pfalz,,Landkreis Mayen-Koblenz,50.2256,7.3516,56294,RP
1244.0,Kleinfurra,Thüringen,,Landkreis Nordhausen,51.4156,10.7645,99735,TH
1242.0,Sauerthal,Rheinland-Pfalz,,Rhein-Lahn-Kreis,50.0855,7.8211,65391,RP
1241.0,Pillingsdorf,Thüringen,,Saale-Orla-Kreis,50.7803,11.7941,7819,TH
1241.0,Sülzetal,Sachsen-Anhalt,,Börde,52.0167,11.55,39171,ST
1241.0,Mückeln,Rheinland-Pfalz,,Vulkaneifel,50.0833,6.9167,54558,RP
1241.0,Stammbach,Bayern,Upper Franconia,Landkreis Hof,50.1455,11.6913,95236,BY
1240.0,Heteborn,Sachsen-Anhalt,,Landkreis Harz,51.8931,11.292,6458,ST
1240.0,Rheurdt,Nordrhein-Westfalen,Reg.-Bez. Düsseldorf,Kleve,51.4667,6.4667,47509,NW
1239.0,Swisttal,Nordrhein-Westfalen,Regierungsbezirk Köln,Rhein-Sieg-Kreis,50.7,6.9167,53913,NW
1239.0,Neukirchen-Vluyn,Nordrhein-Westfalen,Reg.-Bez. Düsseldorf,Wesel,51.45,6.55,47506,NW
1239.0,Düsseldorf,Nordrhein-Westfalen,Reg.-Bez. Düsseldorf,"Düsseldorf, Stadt",51.2302,6.7135,40549,NW
1239.0,Großostheim,Bayern,Regierungsbezirk Unterfranken,Landkreis Aschaffenburg,49.9199,9.076,63762,BY
1238.0,Magdeburg,Sachsen-Anhalt,,Landeshauptstadt Magdeburg,52.082,11.586,39014,ST
1238.0,Köln,Nordrhein-Westfalen,Regierungsbezirk Köln,"Köln, Stadt",50.9535,6.8328,50859,NW
1236.0,Neuhaus-Schierschnitz,Thüringen,,Landkreis Sonneberg,50.3124,11.2402,96524,TH
1236.0,Duisburg,Nordrhein-Westfalen,Reg.-Bez. Düsseldorf,"Duisburg, Stadt",51.3926,6.6564,47239,NW
1236.0,Wittgensdorf,Sachsen,,"Chemnitz, Stadt",50.8832,12.8703,9228,SN
1235.0,Cottbus,Brandenburg,,Kreisfreie Stadt Cottbus,51.756,14.3197,3046,BB
1235.0,Mühlberg (Elbe),Brandenburg,,Landkreis Elbe-Elster,51.4333,13.2167,4931,BB
1235.0,Raddusch,Brandenburg,,Landkreis Oberspreewald-Lausitz,51.8181,14.0403,3226,BB
1234.0,Weißenstadt,Bayern,Upper Franconia,Wunsiedel i.Fichtelgebirge,50.1022,11.8885,95163,BY
1234.0,Haasow,Brandenburg,,Landkreis Spree-Neiße,51.7426,14.4209,3058,BB
1234.0,Schönau-Berzdorf auf dem Eigen,Sachsen,,Landkreis Görlitz,51.0667,14.9,2899,SN
1233.0,Schlabendorf,Brandenburg,,Landkreis Dahme-Spreewald,51.8084,13.8206,15926,BB
1233.0,Bad Homburg vor der Höhe,Hessen,Regierungsbezirk Darmstadt,Hochtaunuskreis,50.2167,8.6167,61352,HE
1232.0,Deuna,Thüringen,,Eichsfeld,51.3545,10.4744,37355,TH
1231.0,Dornburg,Sachsen-Anhalt,,Jerichower Land,52.034,11.8802,39264,ST
1231.0,Monheim am Rhein,Nordrhein-Westfalen,Reg.-Bez. Düsseldorf,Mettmann,51.0916,6.8922,40789,NW
1231.0,Wilsdruff,Sachsen,,Landkreis Sächsische Schweiz,51.052,13.5366,1723,SN
1230.0,Neumark,Sachsen,,Vogtlandkreis,50.6601,12.3562,8496,SN
1230.0,Aschaffenburg,Bayern,Regierungsbezirk Unterfranken,Aschaffenburg,49.9648,9.1647,63743,BY
1230.0,"Dresden Gompitz, Unkersdorf",Sachsen,,Kreisfreie Stadt Dresden,51.0572,13.5903,1156,SN
1230.0,Beierstedt,Niedersachsen,,Landkreis Helmstedt,52.0741,10.8581,38382,NI
1230.0,Hünfelden,Hessen,Reg.-Bez. Gießen,Limburg-Weilburg,50.3286,8.1476,65597,HE
1230.0,Hof,Bayern,Upper Franconia,Hof,50.2953,11.9103,95032,BY
1229.0,Friedland Friedland,Brandenburg,,Landkreis Oder-Spree,52.1,14.2667,15848,BB
1229.0,Bonn,Nordrhein-Westfalen,Regierungsbezirk Köln,"Bonn, Stadt",50.711,7.0489,53123,NW
1229.0,Winnigstedt,Niedersachsen,,Landkreis Wolfenbüttel,52.0663,10.7688,38170,NI
1228.0,Berg,Rheinland-Pfalz,,Landkreis Ahrweiler,50.5552,6.9489,53505,RP
1227.0,Dessau,Sachsen-Anhalt,,Dessau-Roßlau,51.8221,12.1917,6847,ST
1227.0,Lebus,Brandenburg,,Landkreis Märkisch-Oderland,52.4272,14.5323,15326,BB
1226.0,Frankfurt (Oder),Brandenburg,,Frankfurt (Oder),52.3646,14.5244,15234,BB
1225.0,Koblenz,Rheinland-Pfalz,,"Koblenz, kreisfreie Stadt",50.3201,7.5682,56075,RP
1224.0,Groß Naundorf,Sachsen-Anhalt,,Landkreis Wittenberg,51.6943,12.9973,6925,ST
1223.0,Spreetal,Sachsen,,Landkreis Bautzen,51.5167,14.3667,2979,SN
1223.0,Herbersdorf,Brandenburg,,Landkreis Teltow-Fläming,51.8618,13.295,14913,BB
1223.0,Leverkusen,Nordrhein-Westfalen,Regierungsbezirk Köln,"Leverkusen, Stadt",51.0645,6.9592,51371,NW
1223.0,Hohndorf,Sachsen,,Erzgebirgskreis,50.7404,12.6806,9394,SN
1221.0,Gleichen,Niedersachsen,,Landkreis Göttingen,51.4667,10.0333,37130,NI
1220.0,Oberhausen,Nordrhein-Westfalen,Reg.-Bez. Düsseldorf,"Oberhausen, Stadt",51.5355,6.8116,46147,NW
1219.0,Mülheim an der Ruhr,Nordrhein-Westfalen,Reg.-Bez. Düsseldorf,"Mülheim an der Ruhr, Stadt",51.4326,6.8216,45478,NW
1219.0,Isselburg,Nordrhein-Westfalen,Reg.-Bez. Münster,Borken,51.8323,6.4643,46419,NW
1219.0,Hamm,Nordrhein-Westfalen,Reg.-Bez. Arnsberg,"Hamm, Stadt",51.691,7.8704,59071,NW
1218.0,Solingen,Nordrhein-Westfalen,Reg.-Bez. Düsseldorf,"Solingen, Stadt",51.1611,7.0016,42697,NW
1218.0,Söhlde,Niedersachsen,,Landkreis Hildesheim,52.189,10.2324,31185,NI
1218.0,Salzgitter Lesse,Niedersachsen,,"Salzgitter, Stadt",52.1606,10.2569,38228,NI
1217.0,Ahlen,Nordrhein-Westfalen,Reg.-Bez. Münster,Warendorf,51.7602,7.8845,59227,NW
1217.0,Erpel,Rheinland-Pfalz,,Landkreis Neuwied,50.5833,7.2333,53579,RP
1216.0,Wiek,Mecklenburg-Vorpommern,,Vorpommern-Rügen,54.62,13.2891,18556,MV
1216.0,Leichlingen,Nordrhein-Westfalen,Regierungsbezirk Köln,Rheinisch-Bergischer Kreis,51.1063,7.0187,42799,NW
1216.0,Liebenburg,Niedersachsen,,Landkreis Goslar,52.0218,10.4317,38704,NI
1216.0,Herleshausen,Hessen,Regierungsbezirk Kassel,Werra-Meißner-Kreis,51.0063,10.1673,37293,HE
1216.0,Lengede,Niedersachsen,,Peine,52.2049,10.3078,38268,NI
1215.0,Welver,Nordrhein-Westfalen,Reg.-Bez. Arnsberg,Soest,51.6167,7.9667,59514,NW
1215.0,Görgeshausen,Rheinland-Pfalz,,Westerwaldkreis,50.4167,7.95,56412,RP
1214.0,Homberg (Efze),Hessen,Regierungsbezirk Kassel,Schwalm-Eder-Kreis,51.0333,9.4,34576,HE
1214.0,Bönen,Nordrhein-Westfalen,Reg.-Bez. Arnsberg,Unna,51.6,7.7667,59199,NW
1214.0,Bottrop,Nordrhein-Westfalen,Reg.-Bez. Münster,"Bottrop, Stadt",51.5232,6.9253,46236,NW
1214.0,Ascheberg,Nordrhein-Westfalen,Reg.-Bez. Münster,Coesfeld,51.7833,7.6167,59387,NW
1214.0,Ketzin,Brandenburg,,Landkreis Havelland,52.4781,12.8453,14669,BB
1214.0,Krielow,Brandenburg,,Landkreis Potsdam-Mittelmark,52.4166,12.8034,14550,BB
1213.0,Dorsten,Nordrhein-Westfalen,Reg.-Bez. Münster,Recklinghausen,51.6566,6.9657,46282,NW
1213.0,Essen,Nordrhein-Westfalen,Reg.-Bez. Düsseldorf,"Essen, Stadt",51.4681,6.9174,45359,NW
1213.0,Uetz-Paaren,Brandenburg,,Kreisfreie Stadt Potsdam,52.4726,12.9376,14476,BB
1213.0,Braunschweig,Niedersachsen,,Kreisfreie Stadt Braunschweig,52.224,10.4989,38122,NI
1212.0,Wuppertal,Nordrhein-Westfalen,Reg.-Bez. Düsseldorf,"Wuppertal, Stadt",51.2424,7.06,42327,NW
1212.0,Bochum,Nordrhein-Westfalen,Reg.-Bez. Arnsberg,"Bochum, Stadt",51.4509,7.2388,44799,NW
1211.0,Gelsenkirchen,Nordrhein-Westfalen,Reg.-Bez. Münster,"Gelsenkirchen, Stadt",51.5592,7.0841,45891,NW
1210.0,Hattingen,Nordrhein-Westfalen,Reg.-Bez. Arnsberg,Ennepe-Ruhr-Kreis,51.4,7.1667,45529,NW
1210.0,Hohenroda,Hessen,Regierungsbezirk Kassel,Hersfeld-Rotenburg,50.8,9.9,36284,HE
1210.0,Eiterfeld,Hessen,Regierungsbezirk Kassel,Fulda,50.7667,9.8,36132,HE
1210.0,Hungen,Hessen,Reg.-Bez. Gießen,Gießen,50.4737,8.8933,35410,HE
1209.0,Langenberg,Nordrhein-Westfalen,Reg.-Bez. Detmold,Gütersloh,51.7721,8.3181,33449,NW
1209.0,Nörten-Hardenberg,Niedersachsen,,Northeim,51.6288,9.9359,37176,NI
1209.0,Waldsolms,Hessen,Reg.-Bez. Gießen,Lahn-Dill-Kreis,50.4167,8.5167,35647,HE
