postal_code,city,state,state_code,extra,county,latitude,longitude,radiation
35043,Marburg,Hessen,HE,Reg.-Bez. Gießen,Marburg-Biedenkopf,50.7765,8.7645,1183.0
31547,Rehburg-Loccum Loccum,Niedersachsen,NI,,Landkreis Nienburg/Weser,52.4539,9.1459,1183.0
35041,Marburg,Hessen,HE,Reg.-Bez. Gießen,Marburg-Biedenkopf,50.8165,8.7513,1183.0
31691,Helpsen Helpsen,Niedersachsen,NI,,Landkreis Schaumburg,52.311,9.1172,1183.0
18461,Gremersdorf-Buchholz,Mecklenburg-Vorpommern,MV,,Vorpommern-Rügen,54.15,12.8852,1183.0
31691,Helpsen Kirchhorsten,Niedersachsen,NI,,Landkreis Schaumburg,52.3029,9.1325,1183.0
31688,Nienstädt Nienstädt,Niedersachsen,NI,,Landkreis Schaumburg,52.293,9.1669,1183.0
35039,Marburg,Hessen,HE,Reg.-Bez. Gießen,Marburg-Biedenkopf,50.8098,8.7773,1183.0
18225,Kühlungsborn,Mecklenburg-Vorpommern,MV,,Landkreis Rostock,54.15,11.75,1183.0
29356,Bröckel,Niedersachsen,NI,,Landkreis Celle,52.5163,10.2151,1183.0
29378,Wittingen,Niedersachsen,NI,,Landkreis Gifhorn,52.7281,10.7391,1183.0
29439,Lüchow,Niedersachsen,NI,,Lüchow-Dannenberg,52.9681,11.154,1183.0
16341,Zepernick,Brandenburg,BB,,Landkreis Barnim,52.6509,13.5409,1183.0
31622,Heemsen Lichtenmoor,Niedersachsen,NI,,Landkreis Nienburg/Weser,52.7076,9.304,1183.0
31622,Heemsen Anderten,Niedersachsen,NI,,Landkreis Nienburg/Weser,52.7395,9.321,1183.0
18239,Bölkow,Mecklenburg-Vorpommern,MV,,Landkreis Rostock,54.0055,11.9934,1183.0
31547,Rehburg-Loccum,Niedersachsen,NI,,Landkreis Nienburg/Weser,52.4695,9.1996,1183.0
31547,Rehburg-Loccum Rehburg,Niedersachsen,NI,,Landkreis Nienburg/Weser,52.475,9.2291,1183.0
16515,Oranienburg,Brandenburg,BB,,Landkreis Oberhavel,52.7558,13.242,1183.0
16866,Kyritz Kötzlin,Brandenburg,BB,,Landkreis Ostprignitz-Ruppin,52.9,12.2333,1183.0
16567,Schönfließ,Brandenburg,BB,,Landkreis Oberhavel,52.6555,13.3382,1183.0
31691,Helpsen Südhorsten,Niedersachsen,NI,,Landkreis Schaumburg,52.2966,9.1259,1183.0
31688,Nienstädt,Niedersachsen,NI,,Landkreis Schaumburg,52.2924,9.1644,1183.0
18465,Drechow,Mecklenburg-Vorpommern,MV,,Vorpommern-Rügen,54.1404,12.7998,1183.0
31691,Seggebruch Schierneichen-Deinsen,Niedersachsen,NI,,Landkreis Schaumburg,52.3124,9.093,1183.0
18184,Poppendorf,Mecklenburg-Vorpommern,MV,,Landkreis Rostock,54.1359,12.3054,1183.0
31693,Hespe Hespe-Hiddensen,Niedersachsen,NI,,Landkreis Schaumburg,52.3335,9.1047,1183.0
31693,Hespe,Niedersachsen,NI,,Landkreis Schaumburg,52.33,9.1082,1183.0
18184,Hohenfelde,Mecklenburg-Vorpommern,MV,,Landkreis Rostock,54.0809,11.9126,1183.0
18510,Wittenhagen,Mecklenburg-Vorpommern,MV,,Vorpommern-Rügen,54.1838,13.0713,1183.0
31691,Helpsen,Niedersachsen,NI,,Landkreis Schaumburg,52.3113,9.1168,1183.0
31693,Hespe Stemmen,Niedersachsen,NI,,Landkreis Schaumburg,52.3196,9.1062,1183.0
18510,Behnkendorf,Mecklenburg-Vorpommern,MV,,Vorpommern-Rügen,54.2,13.1362,1183.0
16556,Borgsdorf,Brandenburg,BB,,Landkreis Oberhavel,52.7129,13.2767,1182.0
19339,Bendelin,Brandenburg,BB,,Landkreis Prignitz,52.91,12.1689,1182.0
17337,Uckerland,Brandenburg,BB,,Landkreis Uckermark,53.4569,13.7806,1182.0
16567,Mühlenbeck,Brandenburg,BB,,Landkreis Oberhavel,52.6647,13.3769,1182.0
39615,Losenrade,Sachsen-Anhalt,ST,,Landkreis Stendal,52.9663,11.7654,1182.0
35096,Weimar,Hessen,HE,Reg.-Bez. Gießen,Marburg-Biedenkopf,50.7542,8.6958,1182.0
9514,Lengefeld,Sachsen,SN,,Erzgebirgskreis,50.7191,13.1929,1182.0
35037,Marburg,Hessen,HE,Reg.-Bez. Gießen,Marburg-Biedenkopf,50.803,8.7625,1182.0
33335,Gütersloh,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,Gütersloh,51.9316,8.4599,1182.0
19339,Glöwen,Brandenburg,BB,,Landkreis Prignitz,52.9142,12.0855,1182.0
18198,Stäbelow,Mecklenburg-Vorpommern,MV,,Landkreis Rostock,54.0412,12.0234,1182.0
18246,Jürgenshagen,Mecklenburg-Vorpommern,MV,,Landkreis Rostock,53.9542,11.8966,1182.0
35112,Fronhausen,Hessen,HE,Reg.-Bez. Gießen,Marburg-Biedenkopf,50.7,8.7,1182.0
8324,Bockau,Sachsen,SN,,Erzgebirgskreis,50.5421,12.6864,1182.0
1814,Reinhardtsdorf-Schöna,Sachsen,SN,,Landkreis Sächsische Schweiz,50.895,14.2,1182.0
16352,Schönerlinde,Brandenburg,BB,,Landkreis Barnim,52.6539,13.445,1182.0
16307,Gartz (Oder),Brandenburg,BB,,Landkreis Uckermark,53.2,14.3833,1182.0
18209,Bad Doberan,Mecklenburg-Vorpommern,MV,,Landkreis Rostock,54.1071,11.9005,1182.0
16259,Beiersdorf-Freudenberg Beiersdorf,Brandenburg,BB,,Landkreis Märkisch-Oderland,52.6926,13.783,1182.0
39615,Geestgottberg,Sachsen-Anhalt,ST,,Landkreis Stendal,52.9544,11.7361,1182.0
16259,Heckelberg-Brunow Brunow,Brandenburg,BB,,Landkreis Märkisch-Oderland,52.7297,13.874,1182.0
18184,Klein Kussewitz,Mecklenburg-Vorpommern,MV,,Landkreis Rostock,54.1337,12.2428,1182.0
33334,Gütersloh,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,Gütersloh,51.9436,8.4283,1182.0
37640,Golmbach,Niedersachsen,NI,,Landkreis Holzminden,51.9,9.55,1182.0
29459,Clenze,Niedersachsen,NI,,Lüchow-Dannenberg,52.9373,10.9575,1182.0
30900,Wedemark,Niedersachsen,NI,,Region Hannover,52.541,9.7429,1182.0
29459,Clenze Clenze,Niedersachsen,NI,,Lüchow-Dannenberg,52.9368,10.9574,1182.0
32547,Bad Oeynhausen,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,Minden-Lübbecke,52.206,8.8107,1182.0
31618,Liebenau,Niedersachsen,NI,,Landkreis Nienburg/Weser,52.6036,9.0972,1182.0
32429,Minden,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,Minden-Lübbecke,52.2833,8.9167,1182.0
32425,Minden,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,Minden-Lübbecke,52.2833,8.9167,1182.0
32423,Minden,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,Minden-Lübbecke,52.2873,8.9243,1182.0
33699,Bielefeld,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,"Bielefeld, Stadt",52.0333,8.5333,1182.0
31629,Estorf Leeseringen,Niedersachsen,NI,,Landkreis Nienburg/Weser,52.5975,9.1533,1182.0
32549,Bad Oeynhausen,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,Minden-Lübbecke,52.2473,8.7858,1182.0
31628,Landesbergen Heidhausen,Niedersachsen,NI,,Landkreis Nienburg/Weser,52.5427,9.1445,1182.0
29459,Clenze Quartzau,Niedersachsen,NI,,Lüchow-Dannenberg,52.9418,10.8948,1182.0
32584,Löhne,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,Herford,52.1885,8.6922,1182.0
32130,Enger,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,Herford,52.1406,8.5577,1182.0
32602,Vlotho,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,Herford,52.1388,8.7806,1182.0
32120,Hiddenhausen,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,Herford,52.1667,8.6167,1182.0
29459,Clenze Mützen,Niedersachsen,NI,,Lüchow-Dannenberg,52.9401,10.9384,1182.0
31582,Nienburg (Weser) Langendamm,Niedersachsen,NI,,Landkreis Nienburg/Weser,52.6173,9.2604,1182.0
32545,Bad Oeynhausen,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,Minden-Lübbecke,52.1917,8.8093,1182.0
33415,Verl,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,Gütersloh,51.8833,8.5167,1182.0
